
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9101           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:59286          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:2015         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9222         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9222         127.0.0.1:62079        ESTABLISHED
  TCP    127.0.0.1:27182        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49350        127.0.0.1:49351        ESTABLISHED
  TCP    127.0.0.1:49351        127.0.0.1:49350        ESTABLISHED
  TCP    127.0.0.1:49352        127.0.0.1:49353        ESTABLISHED
  TCP    127.0.0.1:49353        127.0.0.1:49352        ESTABLISHED
  TCP    127.0.0.1:49354        127.0.0.1:49355        ESTABLISHED
  TCP    127.0.0.1:49355        127.0.0.1:49354        ESTABLISHED
  TCP    127.0.0.1:49356        127.0.0.1:49357        ESTABLISHED
  TCP    127.0.0.1:49357        127.0.0.1:49356        ESTABLISHED
  TCP    127.0.0.1:49669        127.0.0.1:49670        ESTABLISHED
  TCP    127.0.0.1:49670        127.0.0.1:49669        ESTABLISHED
  TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED
  TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED
  TCP    127.0.0.1:54135        127.0.0.1:58787        ESTABLISHED
  TCP    127.0.0.1:54161        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:56917        127.0.0.1:58786        ESTABLISHED
  TCP    127.0.0.1:56918        127.0.0.1:58786        ESTABLISHED
  TCP    127.0.0.1:58786        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:58786        127.0.0.1:53102        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:53103        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:56353        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:56917        ESTABLISHED
  TCP    127.0.0.1:58786        127.0.0.1:56918        ESTABLISHED
  TCP    127.0.0.1:58786        127.0.0.1:58741        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:61509        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:61510        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:64267        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:64268        TIME_WAIT
  TCP    127.0.0.1:58786        127.0.0.1:64903        TIME_WAIT
  TCP    127.0.0.1:58787        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:58787        127.0.0.1:54135        ESTABLISHED
  TCP    127.0.0.1:58787        127.0.0.1:58799        ESTABLISHED
  TCP    127.0.0.1:58787        127.0.0.1:59993        ESTABLISHED
  TCP    127.0.0.1:58788        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:58788        127.0.0.1:49209        TIME_WAIT
  TCP    127.0.0.1:58788        127.0.0.1:56967        TIME_WAIT
  TCP    127.0.0.1:58788        127.0.0.1:59156        TIME_WAIT
  TCP    127.0.0.1:58788        127.0.0.1:64159        TIME_WAIT
  TCP    127.0.0.1:58797        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:58797        127.0.0.1:58805        ESTABLISHED
  TCP    127.0.0.1:58799        127.0.0.1:58787        ESTABLISHED
  TCP    127.0.0.1:58805        127.0.0.1:58797        ESTABLISHED
  TCP    127.0.0.1:59993        127.0.0.1:58787        ESTABLISHED
  TCP    127.0.0.1:61534        127.0.0.1:58788        TIME_WAIT
  TCP    127.0.0.1:62079        127.0.0.1:9222         ESTABLISHED
  TCP    127.0.0.1:63431        127.0.0.1:9222         TIME_WAIT
  TCP    127.0.0.1:64266        127.0.0.1:58786        TIME_WAIT
  TCP    127.0.2.2:53           0.0.0.0:0              LISTENING
  TCP    127.0.2.3:53           0.0.0.0:0              LISTENING
  TCP    169.254.73.61:139      0.0.0.0:0              LISTENING
  TCP    172.16.0.2:139         0.0.0.0:0              LISTENING
  TCP    172.16.0.2:49954       20.213.196.212:443     TIME_WAIT
  TCP    172.16.0.2:50223       52.168.117.170:443     ESTABLISHED
  TCP    172.16.0.2:50224       52.168.117.170:443     CLOSE_WAIT
  TCP    172.16.0.2:54814       34.54.84.110:443       TIME_WAIT
  TCP    172.16.0.2:54815       34.54.84.110:443       TIME_WAIT
  TCP    172.16.0.2:56721       34.54.84.110:443       ESTABLISHED
  TCP    172.16.0.2:57644       34.54.84.110:443       TIME_WAIT
  TCP    172.16.0.2:57645       34.54.84.110:443       TIME_WAIT
  TCP    172.16.0.2:58521       34.54.84.110:443       TIME_WAIT
  TCP    172.16.0.2:58545       18.214.174.26:443      TIME_WAIT
  TCP    172.16.0.2:62690       34.54.84.110:443       TIME_WAIT
  TCP    172.16.0.2:63343       172.64.148.235:443     ESTABLISHED
  TCP    172.16.214.180:139     0.0.0.0:0              LISTENING
  TCP    172.16.214.180:49932   162.159.36.1:853       TIME_WAIT
  TCP    172.16.214.180:49936   162.159.46.1:853       TIME_WAIT
  TCP    172.16.214.180:54801   162.159.36.1:853       TIME_WAIT
  TCP    172.16.214.180:54804   162.159.46.1:853       TIME_WAIT
  TCP    172.16.214.180:59138   162.159.36.1:853       TIME_WAIT
  TCP    172.16.214.180:59142   162.159.36.1:853       TIME_WAIT
  TCP    172.16.214.180:61376   162.159.46.1:853       TIME_WAIT
  TCP    172.16.214.180:61381   162.159.36.1:853       TIME_WAIT
  TCP    172.16.214.180:64912   162.159.36.1:853       TIME_WAIT
  TCP    172.16.214.180:64915   162.159.36.1:853       TIME_WAIT
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:3000              [::]:0                 LISTENING
  TCP    [::]:3306              [::]:0                 LISTENING
  TCP    [::]:9101              [::]:0                 LISTENING
  TCP    [::]:33060             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49673             [::]:0                 LISTENING
  TCP    [::]:59286             [::]:0                 LISTENING
  TCP    [::1]:3000             [::1]:53835            ESTABLISHED
  TCP    [::1]:3000             [::1]:63429            ESTABLISHED
  TCP    [::1]:42050            [::]:0                 LISTENING
  TCP    [::1]:53835            [::1]:3000             ESTABLISHED
  TCP    [::1]:62396            [::1]:9229             SYN_SENT
  TCP    [::1]:63429            [::1]:3000             ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:49553  [2404:6800:4002:804::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:49899  [2404:6800:4002:810::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:50673  [2404:6800:4009:80b::200e]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:50744  [2404:6800:4002:808::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:51136  [2404:6800:4002:803::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:51476  [2404:6800:4002:811::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:51719  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52126  [2404:6800:4002:809::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52371  [2606:4700::6811:190e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52489  [2404:6800:4002:807::2004]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52664  [2603:1040:a06:6::1]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52680  [2404:6800:4002:802::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52734  [2404:6800:4002:829::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52916  [2404:6800:4009:819::2016]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52991  [2404:6800:4002:831::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53076  [2404:6800:4002:830::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53105  [2606:4700:10::ac42:a344]:443  TIME_WAIT
